State,CountyName,Metro,RegionName,1 BR Median Price,2 BR Median Price,3 BR Median Price,4 BR Median Price,5+ BR Median Price
AK,Anchorage Borough,Anchorage,Anchorage,195.0,240.0,345.0,400.0,360.0
AK,Fairbanks North Star Borough,Fairbanks,Fairbanks,0.0,1200.0,0.0,0.0,0.0
AK,Fairbanks North Star Borough,Fairbanks,North Pole,0.0,1285.0,0.0,0.0,0.0
AK,Matanuska Susitna Borough,Anchorage,Wasilla,0.0,500.0,697.5,0.0,0.0
AL,Baldwin County,Daphne-Fairhope-Foley,Daphne,0.0,0.0,1352.0,0.0,0.0
AL,Baldwin County,Daphne-Fairhope-Foley,Fairhope,0.0,0.0,1575.0,0.0,0.0
AL,Baldwin County,Daphne-Fairhope-Foley,Foley,0.0,0.0,1412.5,0.0,0.0
AL,Jefferson County,Birmingham-Hoover,Birmingham,0.0,0.0,870.0,0.0,0.0
AL,Jefferson County,Birmingham-Hoover,Center Point,0.0,0.0,925.0,0.0,0.0
AL,Jefferson County,Birmingham-Hoover,Homewood,0.0,1120.0,0.0,0.0,0.0
AL,Jefferson County,Birmingham-Hoover,Hoover,276.3333333333333,331.6666666666667,435.0,0.0,0.0
AL,Lee County,Auburn-Opelika,Auburn,0.0,462.5,682.5,0.0,0.0
AL,Madison County,Huntsville,Huntsville,0.0,920.0,0.0,0.0,0.0
AL,Mobile County,Mobile,Mobile,0.0,0.0,985.0,0.0,0.0
AL,Montgomery County,Montgomery,Montgomery,208.33333333333334,256.6666666666667,308.3333333333333,0.0,0.0
AL,Tuscaloosa County,Tuscaloosa,Tuscaloosa,325.0,457.5,0.0,0.0,0.0
AR,Benton County,Fayetteville-Springdale-Rogers,Bentonville,265.0,308.3333333333333,350.0,0.0,0.0
AR,Craighead County,Jonesboro,Jonesboro,0.0,849.0,0.0,0.0,0.0
AR,Faulkner County,Little Rock-North Little Rock-Conway,Conway,0.0,650.0,0.0,0.0,0.0
AR,Pulaski County,Little Rock-North Little Rock-Conway,Little Rock,228.33333333333334,275.0,318.3333333333333,0.0,0.0
AR,Pulaski County,Little Rock-North Little Rock-Conway,North Little Rock,362.0,371.25,0.0,0.0,0.0
AR,Sebastian County,Fort Smith,Fort Smith,212.5,325.0,0.0,0.0,0.0
AR,Washington County,Fayetteville-Springdale-Rogers,Fayetteville,0.0,412.5,675.0,0.0,0.0
AZ,Coconino County,Flagstaff,Flagstaff,0.0,1493.0,0.0,0.0,0.0
AZ,Maricopa County,Phoenix-Mesa-Scottsdale,Avondale,545.25,668.5,0.0,0.0,0.0
AZ,Maricopa County,Phoenix-Mesa-Scottsdale,Chandler,420.3333333333333,483.8333333333333,566.6666666666666,0.0,0.0
